Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.015516,13.242934,245.660452,2589.180863,148.063697,450.713406,0.201436,0.30826,18.692366,0.483543,8.534189,0.006764,1.267298
0.015766,12.74564,250.990511,2587.00742,147.980651,451.143528,0.263965,-0.102317,19.091625,0.521936,8.467034,0.006701,1.281244
0.016016,12.87083,243.171546,2586.994187,148.085104,450.586372,0.280149,0.196876,19.071922,0.510731,8.545799,0.006695,1.639204
0.016266,11.977953,244.813003,2585.338871,148.095418,450.917027,0.114776,0.099868,19.231792,0.510092,8.822177,0.006698,1.445939
0.016517,10.96707,239.561865,2585.329992,148.032155,450.993929,0.166811,-0.121662,18.799715,0.508662,8.485725,0.006656,1.605277
0.016767,11.319681,237.534641,2588.436069,148.039673,451.598852,0.207339,0.379015,18.378843,0.515555,8.653512,0.006668,1.789327
0.017017,11.012281,237.904943,2586.374923,148.062193,450.747299,0.154929,0.494406,18.306832,0.514329,8.747216,0.006639,1.70287
0.017267,11.220919,239.769512,2587.034664,148.083132,451.203767,0.239521,0.407263,18.671957,0.524341,8.453358,0.006622,1.86168
0.017518,10.949401,243.395407,2588.703557,148.023014,452.126994,0.165575,0.438834,18.2381,0.514838,8.561299,0.006654,1.768434
0.017768,10.099388,238.463097,2587.701355,148.070619,451.169163,0.214896,0.50073,18.621406,0.542741,8.817606,0.006669,1.772985
0.018018,9.9713,241.560839,2588.983551,148.042144,451.148893,0.073094,0.522973,17.512313,0.522255,8.661453,0.006667,1.588824
0.018268,9.931149,238.971903,2590.257052,148.081782,451.549006,0.346504,0.38926,18.323716,0.550109,8.782863,0.006584,1.828527
0.018519,9.264482,232.64669,2589.65818,148.10694,450.496614,0.250716,0.092027,18.173536,0.547481,8.363346,0.006645,1.565104
0.018769,8.685075,241.311213,2586.693196,148.084399,450.995484,0.251441,0.460594,18.229081,0.540658,8.358544,0.006636,1.984011
0.019019,8.956665,237.227899,2588.000834,148.10388,451.293494,0.093114,0.175569,18.471455,0.553191,8.473259,0.006634,1.983406
0.019269,8.33833,247.416343,2592.604923,148.098236,452.232214,0.195624,0.050235,17.74053,0.540953,8.531245,0.006576,1.871462
0.01952,8.593042,231.021366,2592.896734,148.041185,450.992371,0.204654,0.521928,17.849128,0.557494,8.796152,0.006672,1.859733
0.01977,8.508144,235.165745,2592.908169,148.080662,452.060639,0.422042,0.550242,17.476163,0.585503,8.568314,0.006627,2.363501
0.02002,7.922021,233.981736,2591.95763,148.107056,451.024537,0.372658,0.624066,17.799117,0.559807,8.607313,0.006525,1.865537
0.02027,8.353748,236.45815,2589.119752,148.114575,451.531879,0.456536,0.382274,17.91224,0.564108,8.521071,0.006648,1.948442
0.020521,8.479481,234.792006,2592.038862,148.092783,451.194901,0.28381,0.291754,17.821826,0.579356,8.806375,0.006601,1.958822
0.020771,7.708501,237.184653,2594.18788,148.150647,452.039153,0.329812,0.079613,18.021415,0.561784,8.678111,0.006639,2.144703
0.021021,8.117052,230.868779,2592.381744,148.139186,450.839598,0.494042,0.178691,17.854574,0.582479,8.743202,0.006559,1.92781
0.021271,8.078307,232.382268,2594.181805,148.133571,451.922507,0.343049,0.326811,16.720898,0.606814,8.411546,0.006575,1.931266
0.021522,7.432872,231.391051,2592.456838,148.136772,452.330879,0.260491,0.820239,16.856734,0.590566,8.290027,0.006569,1.977616
0.021772,7.094608,222.993273,2595.484985,148.116479,451.555941,0.269051,0.360347,17.405087,0.596515,8.703771,0.006545,2.270323
0.022022,8.036908,230.547644,2593.405227,148.13968,452.229264,0.20271,0.650115,17.004303,0.617769,8.807761,0.006545,2.228779
0.022272,7.584212,232.736459,2595.262537,148.10955,452.075461,0.348334,0.718791,16.691249,0.618253,8.599115,0.006522,2.089462
0.022523,7.586172,231.415515,2595.882432,148.173871,452.775526,0.40112,0.383873,16.989138,0.61349,8.571986,0.00651,2.143622
0.022773,7.785939,230.878606,2593.556541,148.186828,452.309149,0.601765,0.68239,16.880669,0.625223,8.529192,0.006482,2.187524
0.023023,7.620151,228.955671,2595.253188,148.141315,452.064312,0.419633,0.307017,17.030817,0.62507,8.340332,0.006493,2.253387
0.023273,7.150955,229.337982,2594.774084,148.131047,452.330025,0.244646,0.357151,16.739073,0.636813,8.437865,0.006497,2.538477
0.023524,7.21026,221.808352,2594.005209,148.156671,452.326181,0.196549,0.630905,16.045742,0.633855,8.317668,0.006486,2.237894
0.023774,6.024031,229.264924,2595.899945,148.150464,452.301827,0.179972,0.596527,16.637832,0.639625,8.720658,0.006496,2.189764
0.024024,7.060576,224.650612,2595.698965,148.137275,451.84785,0.251901,0.464666,16.704471,0.65384,8.705216,0.006469,2.554091
0.024274,7.066393,224.435823,2595.255781,148.284135,451.97592,0.080733,0.615875,16.133351,0.634616,8.47912,0.006547,2.200287
0.024525,7.243751,221.281758,2600.010239,148.209158,452.788056,0.355045,0.435606,16.50305,0.648772,8.778837,0.006521,2.408667
0.024775,6.485441,224.80549,2596.385725,148.163596,452.211434,0.279642,0.771219,15.289281,0.660686,8.427116,0.006414,2.848875
0.025025,7.145235,226.956986,2598.238858,148.214394,452.03177,0.322947,0.783195,16.346643,0.664482,8.443635,0.006474,2.569412
0.025275,7.338225,222.750634,2598.379138,148.215812,452.354472,0.367481,0.475625,15.899654,0.668939,8.614502,0.006487,2.764516
0.025526,6.544681,229.814738,2598.841727,148.206505,452.33725,0.376915,0.907166,16.209767,0.687693,8.597552,0.006453,2.738716
0.025776,6.58809,224.267251,2598.365136,148.217159,451.587181,0.430357,0.99996,16.090416,0.674262,8.584967,0.006449,2.361755
0.026026,6.41185,223.696007,2599.489832,148.228288,452.878125,0.342088,0.835291,16.475911,0.677987,8.420941,0.006455,2.570755
0.026276,6.568998,222.71647,2597.215147,148.231253,451.627568,0.222597,0.840702,15.890536,0.685491,8.482953,0.006419,2.836887
0.026527,7.08377,212.063727,2600.54194,148.220465,452.710544,0.398018,0.6523,15.567254,0.680304,8.691572,0.006477,2.929033
0.026777,6.624727,221.599674,2599.045604,148.187758,452.68017,0.250219,0.774488,15.194041,0.685342,8.55377,0.006435,2.471888
0.027027,6.363175,215.52524,2600.407593,148.252867,452.830503,0.350193,0.965602,15.366175,0.703064,8.542219,0.006459,2.757054
0.027277,6.407003,206.356986,2599.175126,148.234493,452.372731,0.227916,0.384998,15.26926,0.685293,8.620183,0.006414,2.627545
0.027528,6.213868,218.769341,2599.858033,148.268004,452.092296,0.320786,0.65666,15.698843,0.709589,8.51128,0.006408,2.911115
0.027778,6.726528,217.408875,2601.544947,148.244643,452.977394,0.319906,0.988741,15.332902,0.712956,8.48234,0.006377,2.81586
0.028028,7.25744,216.700256,2601.266418,148.284857,452.27306,0.286022,0.663375,15.217858,0.68995,8.382343,0.006323,2.721228
0.028278,6.138235,215.284038,2601.880775,148.28816,452.954087,0.291144,0.900989,15.215166,0.716026,8.351327,0.006353,2.712978
0.028529,7.251103,204.665936,2599.526254,148.307396,453.217248,0.402671,0.944624,15.248157,0.728559,8.395847,0.006294,3.161604
0.028779,6.670314,215.286779,2602.727438,148.276176,451.701956,0.344795,0.978533,15.113954,0.726067,8.480144,0.006434,2.888517
0.029029,7.49552,211.616383,2604.528496,148.290039,453.803052,0.464167,0.503437,15.323151,0.740197,8.506368,0.00637,2.804774
0.029279,6.579773,214.698076,2603.168224,148.304837,453.802968,0.27006,0.640157,14.716456,0.737724,8.545103,0.006325,2.853642
0.02953,6.739119,207.00546,2603.094733,148.29644,452.772984,0.371473,1.008077,15.227649,0.731952,8.298548,0.006366,3.029714
0.02978,5.961877,212.211028,2604.802522,148.346805,453.359404,0.304477,1.076376,15.194044,0.736141,8.304003,0.006341,2.906469
0.03003,7.047579,209.832641,2603.909768,148.288472,452.88778,0.372376,0.774743,14.625886,0.74262,8.310534,0.006343,3.175624
0.03028,6.043337,208.350198,2605.674543,148.38886,453.2758,0.367575,1.399291,15.301249,0.739916,8.350872,0.00632,2.758476
0.030531,5.884799,208.162502,2605.471084,148.326894,452.985185,0.411095,1.049989,14.632259,0.7302,8.16389,0.006334,3.081313
0.030781,6.308269,210.701776,2602.069598,148.331812,453.00658,0.312294,1.260424,14.781627,0.750135,8.414633,0.006291,3.338886
0.031031,6.478505,206.882935,2601.854649,148.317524,452.519666,0.324772,0.688627,14.469544,0.754836,8.312858,0.006292,3.271021
0.031281,6.486596,210.163052,2602.559429,148.328591,453.540573,0.202353,0.785858,14.574489,0.74256,8.157836,0.006328,3.382831
0.031532,6.453105,209.329961,2603.898722,148.349757,452.337925,0.324251,1.354901,14.345352,0.758716,8.481163,0.006323,3.155044
0.031782,6.577035,201.010988,2606.629074,148.315724,453.668814,0.283177,1.114125,14.693793,0.758992,8.335046,0.006303,3.147155
0.032032,6.183512,205.162531,2606.956408,148.334854,453.031844,0.260285,0.990692,14.089528,0.765538,8.413315,0.006309,3.468585
0.032282,6.236822,207.178853,2602.546023,148.346038,453.706339,0.250161,1.19689,13.77821,0.76889,8.31143,0.006281,3.382606
0.032533,6.920363,206.702961,2605.86033,148.405213,453.640567,0.374047,0.948574,14.063637,0.77581,8.155618,0.006286,3.36765
0.032783,6.811421,206.889862,2606.680632,148.326402,453.006826,0.341528,0.913372,14.604682,0.765709,8.34176,0.006299,3.494193
0.033033,5.233218,208.012709,2606.050737,148.41546,452.474764,0.442062,1.163018,13.151611,0.769105,8.114648,0.006337,3.545659
0.033283,6.303275,195.130139,2606.208709,148.395106,452.803143,0.219297,1.27398,13.884142,0.770765,8.092256,0.006309,3.389607
0.033534,6.15381,204.526617,2608.80111,148.35403,454.370611,0.408338,1.057035,13.253201,0.784377,8.282162,0.006316,3.909376
0.033784,6.481581,200.879367,2606.781253,148.363077,453.887861,0.350181,1.067099,13.637951,0.77452,8.049126,0.006295,3.533115
0.034034,5.384963,204.880258,2609.525381,148.405832,453.587259,0.571729,1.15792,14.00616,0.78416,8.301231,0.006219,3.560026
0.034284,6.283284,189.631471,2611.161175,148.438325,452.809851,0.406441,1.119484,13.759707,0.767947,8.017921,0.006291,3.624168
0.034535,6.787016,203.192382,2607.568525,148.424407,453.256608,0.289817,1.193543,14.234755,0.805284,8.252345,0.006235,3.732823
0.034785,5.952788,195.146199,2610.573476,148.394085,453.680984,0.25162,1.245121,13.468484,0.78283,8.097712,0.006234,3.797176
0.035035,6.682245,200.408286,2609.427489,148.409744,452.997494,0.443001,1.456083,14.296532,0.775795,8.220332,0.006205,3.926162
0.035285,5.69331,196.655941,2607.926249,148.436932,453.015384,0.255567,1.479088,13.398563,0.787222,8.43951,0.006245,3.532424
0.035536,5.985902,190.315557,2612.301683,148.434526,453.619621,0.402642,1.525001,13.626379,0.795802,8.276832,0.006151,3.831704
0.035786,6.535532,198.932095,2609.901592,148.449002,453.611702,0.253363,1.402975,12.42046,0.80758,8.187613,0.006202,3.805924
0.036036,6.915914,194.320061,2611.287074,148.45804,453.698136,0.368336,1.124577,13.10969,0.794257,8.15923,0.006159,3.682945
0.036286,5.942526,194.766219,2611.60365,148.457457,454.161504,0.456141,1.402883,13.381327,0.810653,8.071241,0.006201,3.614092
0.036537,5.574926,186.594029,2611.329387,148.473138,453.837797,0.396764,1.352596,13.025231,0.794566,8.075041,0.006215,4.124613
0.036787,6.313412,200.926708,2611.92207,148.438773,453.291001,0.23113,1.503303,13.065927,0.79891,8.251331,0.0062,3.830294
0.037037,5.577525,194.827675,2613.533276,148.470388,453.727396,0.439983,1.548416,12.608576,0.81888,8.198748,0.006211,4.151573
0.037287,6.249766,198.850814,2610.771645,148.485163,454.47912,0.40051,1.639105,12.058158,0.795341,7.891539,0.006137,4.226137
0.037538,5.866549,193.036665,2613.190898,148.484887,453.677654,0.307016,1.25391,12.734433,0.809308,8.155853,0.006202,4.008976
0.037788,6.139165,192.553253,2611.582813,148.463189,453.793858,0.420225,1.853973,12.782431,0.814346,8.04359,0.006241,4.370302
0.038038,7.427495,191.057423,2611.131596,148.52317,454.259015,0.366994,1.71027,12.270303,0.813104,8.097585,0.006123,4.162723
0.038288,6.327564,186.68944,2612.161689,148.541993,453.672061,0.377692,1.66047,12.573055,0.813955,8.237827,0.006137,4.05804
0.038539,5.788138,190.400549,2610.665716,148.478755,454.00773,0.388413,1.593929,12.080066,0.815209,7.964046,0.006144,3.967433
0.038789,6.409242,186.785207,2614.389828,148.496845,454.341967,0.194031,1.539111,12.589453,0.828035,8.090179,0.006196,4.536998
0.039039,6.675894,185.12594,2616.157198,148.463333,453.863077,0.43127,1.403724,12.251067,0.804323,8.086011,0.00606,4.298955
0.039289,5.229487,181.447251,2615.979342,148.529577,453.630493,0.425723,1.483507,12.594176,0.829982,8.194614,0.006135,4.489825
0.03954,5.656484,178.74035,2614.442699,148.501851,454.484154,0.340976,1.67544,11.802416,0.821543,8.086827,0.006099,4.260402
0.03979,6.114154,183.170128,2614.825087,148.553118,454.517582,0.442574,1.433159,11.806708,0.830331,8.064269,0.006128,4.444152
0.04004,5.991248,179.789794,2613.853794,148.584859,454.665116,0.29659,1.592111,12.094189,0.832589,7.904894,0.006125,4.220554
0.04029,6.142552,179.637168,2615.294893,148.528598,454.223756,0.363404,1.769681,11.809383,0.812236,8.145615,0.006084,4.28957
0.040541,6.571965,184.470677,2616.718883,148.562975,454.504261,0.492087,1.24899,12.046481,0.839675,8.053555,0.006109,4.564952
0.040791,6.317312,184.801632,2618.516068,148.597011,453.858135,0.358831,1.606061,11.511652,0.835428,7.855429,0.006101,4.709883
0.041041,6.611927,180.863928,2616.361952,148.528432,454.305339,0.344127,1.403571,11.695405,0.821299,7.914537,0.006067,4.471809
0.041291,6.387936,181.835145,2619.289525,148.593974,454.598722,0.386739,1.231846,11.371815,0.843474,7.922422,0.006042,4.897755
0.041542,6.407129,174.43792,2619.888825,148.562957,454.711426,0.361616,1.436731,11.816514,0.844738,7.902445,0.006101,4.589312
0.041792,5.371465,183.408882,2617.07124,148.56344,454.393385,0.343308,1.28419,11.844805,0.847495,7.949089,0.006089,4.669025
0.042042,6.027146,180.498584,2618.138686,148.547456,453.704099,0.21519,1.788404,11.615172,0.844369,7.786857,0.005985,4.591319
0.042292,5.632401,173.142398,2620.744639,148.620121,455.183835,0.38679,1.433309,11.15149,0.870005,7.848357,0.006021,4.685944
0.042543,5.790594,172.877092,2617.648404,148.631795,453.842465,0.350162,1.809089,11.421976,0.846799,7.614284,0.006077,4.788139
0.042793,5.449294,174.083387,2619.404781,148.606888,455.033323,0.310035,1.789437,11.317411,0.856039,7.76809,0.006061,4.577558
0.043043,5.848445,170.886691,2616.874024,148.65109,454.048937,0.377268,1.470427,11.73497,0.847145,7.912262,0.00602,4.802393
0.043293,5.981385,170.891511,2616.867313,148.631471,455.118162,0.386893,1.2355,11.052988,0.846451,7.779754,0.006041,5.125884
0.043544,5.946562,171.795848,2619.018044,148.606772,454.688828,0.526793,1.839034,11.139245,0.856319,8.068883,0.005991,4.819494
0.043794,5.967656,177.917893,2618.666889,148.621671,453.934949,0.525927,1.718243,11.390118,0.841113,7.865926,0.006051,5.030677
0.044044,6.135088,173.443338,2619.196608,148.5987,454.338802,0.208707,1.493641,10.764257,0.865922,7.855014,0.005988,5.06603
0.044294,6.317895,170.081286,2620.655582,148.606704,454.656898,0.293353,1.969271,11.411992,0.854258,7.651594,0.005964,5.220171
0.044545,5.929158,177.993654,2621.012169,148.660775,455.135305,0.422487,2.024339,10.647025,0.858484,7.812506,0.006063,5.262186
0.044795,6.104709,168.439824,2622.717895,148.635046,454.854676,0.445501,1.945569,10.6085,0.862914,7.890858,0.006021,5.196337
0.045045,5.385678,170.002195,2624.148535,148.625435,454.818543,0.376762,1.888579,10.628323,0.859247,7.827906,0.006053,5.203145
0.045295,5.518733,175.058654,2625.442569,148.692499,454.80486,0.198059,1.87983,10.710257,0.862878,7.960454,0.005993,5.012322
0.045546,5.565792,172.334738,2620.560671,148.698363,454.6437,0.491436,1.602052,11.042875,0.875559,7.471478,0.005944,4.999299
0.045796,5.747132,169.312571,2622.012251,148.667537,455.275309,0.35368,1.987336,9.988325,0.848465,7.745483,0.00597,5.100354
0.046046,5.627134,175.495626,2622.7742,148.668149,455.021055,0.399806,2.049088,10.687763,0.859175,7.659678,0.005929,5.043699
0.046296,5.066062,170.355447,2622.383237,148.654294,454.791361,0.362548,1.675119,10.336588,0.872025,7.516591,0.005978,5.318339
0.046547,5.400741,171.709461,2620.553057,148.695891,454.586494,0.382012,1.622559,10.456496,0.870654,7.377934,0.005916,5.51765
0.046797,6.427887,161.511428,2625.479897,148.698478,455.961163,0.561777,2.436074,11.016217,0.88693,7.807276,0.005972,5.292987
0.047047,6.00985,161.474329,2624.454947,148.706611,455.216393,0.430845,1.819488,10.237081,0.876005,7.4818,0.005971,5.270148
0.047297,5.928087,165.334934,2626.608307,148.738884,455.197387,0.311982,2.251397,10.320765,0.892931,7.611558,0.006007,5.50311
0.047548,6.324138,158.57774,2623.374518,148.676299,455.169213,0.348144,2.077309,9.935492,0.873505,7.442971,0.005918,5.093999
0.047798,5.103229,163.259225,2624.319566,148.716957,455.394199,0.334937,1.952327,10.804741,0.90303,7.452097,0.005985,5.570191
0.048048,5.390678,155.509444,2624.770379,148.703322,454.895832,0.452115,2.207049,10.088256,0.879503,7.511046,0.005921,5.345848
