Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.016266,12.142626,242.858276,2585.759145,148.047589,451.103109,0.202549,0.17823,18.780883,0.505321,8.577123,0.006686,1.524877
0.016517,11.784233,242.41063,2586.148707,148.050319,451.135651,0.207038,0.186381,18.703864,0.508149,8.581094,0.00668,1.551257
0.016767,11.442129,241.953585,2586.53363,148.053167,451.168199,0.211609,0.194945,18.626895,0.511222,8.584667,0.006674,1.577715
0.017017,11.116284,241.487196,2586.913897,148.056133,451.200751,0.216249,0.203927,18.549989,0.514527,8.587843,0.006668,1.604247
0.017267,10.80661,241.011546,2587.289512,148.059216,451.233308,0.220943,0.213331,18.473158,0.518052,8.590623,0.006661,1.630847
0.017518,10.512955,240.526749,2587.660501,148.062416,451.265869,0.225678,0.223158,18.396416,0.521783,8.593011,0.006655,1.65751
0.017768,10.235103,240.032946,2588.026913,148.065731,451.298435,0.230436,0.233407,18.319771,0.525706,8.595008,0.006649,1.684234
0.018018,9.972782,239.530305,2588.388821,148.069161,451.331006,0.235201,0.244074,18.243235,0.529807,8.596621,0.006643,1.711016
0.018268,9.725657,239.019019,2588.746317,148.072703,451.363581,0.239956,0.255154,18.166816,0.534072,8.597854,0.006637,1.737854
0.018519,9.49334,238.499307,2589.099516,148.076355,451.39616,0.244684,0.266638,18.090522,0.538485,8.598713,0.00663,1.764747
0.018769,9.275394,237.971407,2589.448551,148.080115,451.428744,0.249367,0.278516,18.014359,0.543034,8.599207,0.006624,1.791695
0.019019,9.071335,237.435577,2589.793576,148.083979,451.461332,0.253989,0.290774,17.938335,0.547702,8.599341,0.006618,1.818698
0.019269,8.88064,236.892089,2590.134756,148.087944,451.493925,0.258533,0.303398,17.862453,0.552476,8.599126,0.006611,1.845759
0.01952,8.702754,236.341231,2590.472273,148.092008,451.526521,0.262986,0.316372,17.786718,0.557342,8.59857,0.006605,1.872879
0.01977,8.537098,235.783297,2590.806317,148.096166,451.559122,0.267333,0.329676,17.711133,0.562285,8.597683,0.006599,1.900062
0.02002,8.383069,235.218592,2591.137087,148.100414,451.591727,0.271561,0.343292,17.635702,0.567292,8.596474,0.006592,1.927312
0.02027,8.240057,234.647423,2591.464787,148.104749,451.624336,0.275661,0.3572,17.560426,0.572349,8.594954,0.006586,1.954631
0.020521,8.107444,234.070098,2591.789625,148.109167,451.656949,0.279624,0.371377,17.485307,0.577445,8.593132,0.00658,1.982026
0.020771,7.984612,233.486927,2592.111808,148.113663,451.689566,0.283442,0.385803,17.410346,0.582568,8.591019,0.006573,2.0095
0.021021,7.870949,232.898214,2592.431542,148.118234,451.722187,0.287111,0.400455,17.335544,0.587705,8.588625,0.006567,2.037059
0.021271,7.765855,232.304258,2592.749028,148.122876,451.754813,0.290626,0.415313,17.260901,0.592847,8.58596,0.00656,2.064707
0.021522,7.668743,231.705353,2593.064463,148.127583,451.787442,0.293986,0.430355,17.186416,0.597984,8.583034,0.006554,2.092449
0.021772,7.579049,231.101782,2593.378035,148.132354,451.820075,0.29719,0.445559,17.112091,0.603105,8.579856,0.006548,2.12029
0.022022,7.496227,230.493822,2593.689927,148.137183,451.852711,0.30024,0.460906,17.037924,0.608204,8.576436,0.006541,2.148235
0.022272,7.419756,229.881736,2594.000308,148.142068,451.885352,0.303139,0.476377,16.963915,0.613272,8.572784,0.006535,2.176287
0.022523,7.349142,229.265778,2594.309342,148.147004,451.917997,0.305888,0.491953,16.890062,0.618303,8.568906,0.006528,2.20445
0.022773,7.283916,228.64619,2594.617179,148.151989,451.950645,0.308494,0.507616,16.816366,0.62329,8.564813,0.006522,2.232728
0.023023,7.22364,228.023201,2594.92396,148.157019,451.983297,0.31096,0.523351,16.742825,0.628227,8.560511,0.006516,2.261125
0.023273,7.1679,227.39703,2595.229816,148.162092,452.015954,0.313293,0.539142,16.669438,0.63311,8.556008,0.006509,2.289641
0.023524,7.116312,226.767883,2595.534866,148.167203,452.048613,0.3155,0.554975,16.596203,0.637934,8.551312,0.006503,2.318281
0.023774,7.068518,226.135954,2595.839219,148.172352,452.081277,0.317585,0.570838,16.523121,0.642696,8.546429,0.006497,2.347044
0.024024,7.024187,225.501427,2596.142976,148.177535,452.113945,0.319557,0.586719,16.450188,0.647393,8.541365,0.00649,2.375934
0.024274,6.983013,224.864472,2596.446226,148.182749,452.146616,0.321421,0.602608,16.377405,0.652022,8.536126,0.006484,2.40495
0.024525,6.944714,224.225253,2596.749049,148.187994,452.179291,0.323186,0.618494,16.30477,0.656581,8.530719,0.006478,2.434093
0.024775,6.90903,223.583918,2597.051519,148.193266,452.21197,0.324856,0.63437,16.232281,0.661069,8.525148,0.006471,2.463363
0.025025,6.875726,222.940611,2597.353699,148.198564,452.244652,0.326439,0.650227,16.159938,0.665484,8.519417,0.006465,2.492759
0.025275,6.844582,222.295463,2597.655646,148.203887,452.277339,0.327941,0.666061,16.087738,0.669825,8.513533,0.006459,2.522283
0.025526,6.815403,221.648598,2597.95741,148.209232,452.310029,0.329367,0.681864,16.015681,0.674092,8.507499,0.006452,2.551931
0.025776,6.788006,221.000132,2598.259035,148.214598,452.342723,0.330725,0.697632,15.943765,0.678285,8.501319,0.006446,2.581703
0.026026,6.762228,220.350172,2598.560558,148.219984,452.37542,0.332018,0.713362,15.871989,0.682404,8.494996,0.00644,2.611598
0.026276,6.737921,219.69882,2598.862011,148.225389,452.408122,0.333252,0.729048,15.80035,0.686448,8.488535,0.006434,2.641614
0.026527,6.714947,219.046169,2599.163422,148.230811,452.440827,0.334432,0.74469,15.728849,0.690419,8.481939,0.006427,2.671749
0.026777,6.693185,218.392308,2599.464814,148.23625,452.473536,0.335563,0.760284,15.657484,0.694317,8.47521,0.006421,2.702001
0.027027,6.672524,217.737319,2599.766207,148.241704,452.506248,0.336648,0.775828,15.586253,0.698143,8.468352,0.006415,2.732368
0.027277,6.652864,217.08128,2600.067615,148.247173,452.538965,0.337691,0.791323,15.515155,0.701899,8.461367,0.006409,2.762847
