Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.017017,10.961282,241.239947,2587.633979,148.060508,451.124214,0.208672,0.285189,18.514559,0.519867,8.594972,0.006672,1.674443
0.017267,10.65559,240.748642,2588.048583,148.062526,451.137324,0.217456,0.283491,18.46972,0.523499,8.595802,0.006667,1.693801
0.017518,10.384129,240.14687,2588.428153,148.066838,451.155699,0.227912,0.299211,18.4111,0.527287,8.588895,0.006661,1.720002
0.017768,10.115839,239.832995,2588.832394,148.070465,451.234252,0.232598,0.303798,18.32145,0.530996,8.582312,0.006655,1.741188
0.018018,9.854979,239.409177,2589.156333,148.071513,451.287128,0.244775,0.310549,18.266671,0.535567,8.59011,0.006646,1.773048
0.018268,9.59913,238.860211,2589.382972,148.075344,451.309426,0.253256,0.320494,18.192287,0.539585,8.584797,0.00664,1.799197
0.018519,9.37151,238.348606,2589.7626,148.079378,451.336578,0.258897,0.324829,18.154846,0.543198,8.593102,0.006637,1.822372
0.018769,9.144609,237.787541,2590.075427,148.082603,451.382395,0.265831,0.337628,18.064863,0.547496,8.600706,0.006629,1.850557
0.019019,8.926422,237.201803,2590.434255,148.086479,451.446017,0.268027,0.354415,17.987046,0.552029,8.595436,0.00662,1.871664
0.019269,8.735488,236.346893,2590.842116,148.090445,451.469587,0.274324,0.360984,17.914769,0.555837,8.593688,0.006612,1.892553
0.01952,8.56826,235.874901,2591.152909,148.094277,451.525051,0.280017,0.366701,17.842899,0.559779,8.585601,0.006606,1.927064
0.01977,8.426172,235.372826,2591.400923,148.098492,451.576353,0.286746,0.364154,17.744729,0.564503,8.590137,0.006598,1.953757
0.02002,8.272737,234.915612,2591.747754,148.102974,451.627554,0.291624,0.365838,17.656704,0.569533,8.597863,0.006592,1.967002
0.02027,8.141098,234.505119,2591.995565,148.10798,451.670264,0.28998,0.38562,17.575049,0.574538,8.596462,0.006582,1.987859
0.020521,8.030544,233.717263,2592.327107,148.114253,451.722727,0.295431,0.408328,17.512374,0.579527,8.59627,0.006576,2.027599
0.020771,7.934339,233.205694,2592.642438,148.119412,451.733391,0.297516,0.429674,17.442409,0.584003,8.590643,0.00657,2.053012
0.021021,7.825519,233.088682,2593.018692,148.1233,451.769683,0.308185,0.45763,17.374827,0.589277,8.583744,0.006563,2.090991
0.021271,7.716982,232.394909,2593.232143,148.128241,451.84411,0.31137,0.474011,17.279343,0.594269,8.581219,0.006558,2.113664
0.021522,7.620669,231.731956,2593.464757,148.132186,451.86271,0.311203,0.474401,17.201571,0.598985,8.577606,0.006553,2.147965
0.021772,7.511949,231.131985,2593.871914,148.136941,451.904014,0.315045,0.496256,17.112873,0.60382,8.577975,0.006551,2.173312
0.022022,7.441089,230.754016,2594.208851,148.139245,451.937007,0.320328,0.497979,17.035542,0.609004,8.575619,0.006545,2.197138
0.022272,7.360061,230.444104,2594.614684,148.144325,451.94656,0.323031,0.507059,16.958047,0.613602,8.572761,0.006541,2.21814
0.022523,7.289856,229.838178,2594.867132,148.151119,452.007905,0.322471,0.512518,16.891871,0.618327,8.575646,0.006533,2.24211
0.022773,7.18086,229.176225,2595.063807,148.155799,452.007268,0.319648,0.52344,16.809237,0.622631,8.567799,0.006526,2.272445
0.023023,7.125165,228.335053,2595.39977,148.160326,452.031529,0.323638,0.542825,16.732136,0.62726,8.563712,0.00652,2.306532
0.023273,7.069512,227.698056,2595.675913,148.165895,452.063474,0.322413,0.555406,16.636517,0.63201,8.569936,0.006512,2.333106
0.023524,7.056527,226.928417,2595.91722,148.170889,452.090805,0.325318,0.565382,16.555012,0.636886,8.565988,0.006504,2.368628
0.023774,7.017638,226.339234,2596.23759,148.175937,452.163424,0.323536,0.58644,16.478478,0.641216,8.563452,0.006496,2.39407
0.024024,6.996183,225.638288,2596.477491,148.179526,452.198242,0.323034,0.592768,16.395111,0.646413,8.567074,0.00649,2.432
0.024274,6.982976,225.025155,2596.766226,148.184353,452.240785,0.316402,0.613369,16.299089,0.651171,8.571249,0.006484,2.453386
0.024525,6.964408,224.263039,2597.192743,148.190246,452.29421,0.320581,0.625805,16.221845,0.656053,8.57136,0.006476,2.474512
0.024775,6.929766,223.407074,2597.592986,148.197456,452.326368,0.321382,0.646124,16.150664,0.660704,8.561373,0.00647,2.490162
0.025025,6.884025,222.706537,2597.855817,148.20373,452.338022,0.325141,0.672872,16.079164,0.665406,8.553349,0.006462,2.515666
0.025275,6.853596,221.929956,2598.088165,148.210058,452.391333,0.319245,0.674328,16.024438,0.669867,8.537363,0.006454,2.549189
0.025526,6.806765,221.730227,2598.373591,148.217289,452.433139,0.316479,0.679162,15.939654,0.67382,8.526896,0.006446,2.579425
0.025776,6.783934,220.911021,2598.675115,148.221989,452.457929,0.313602,0.701513,15.876887,0.677924,8.522236,0.00644,2.599737
0.026026,6.761483,220.143239,2599.112256,148.227271,452.494828,0.317072,0.719738,15.810169,0.682733,8.5141,0.006435,2.639724
0.026276,6.706075,219.361707,2599.414938,148.231643,452.504279,0.315705,0.748921,15.743147,0.686517,8.510869,0.006425,2.666543
0.026527,6.673743,218.666286,2599.599132,148.238663,452.54556,0.318606,0.771703,15.666494,0.690566,8.498529,0.00642,2.692154
0.026777,6.696499,217.91749,2599.878515,148.242328,452.586831,0.314001,0.783578,15.632264,0.694794,8.501236,0.006412,2.717078
0.027027,6.664884,217.632699,2600.216603,148.248571,452.638358,0.317431,0.785025,15.582647,0.698226,8.500257,0.006407,2.752747
0.027277,6.653172,216.866408,2600.427345,148.255824,452.605706,0.320611,0.794349,15.549074,0.701661,8.495474,0.0064,2.767371
0.027528,6.635635,216.256497,2600.756039,148.262554,452.621436,0.321944,0.806099,15.468287,0.706013,8.486857,0.006394,2.793892
0.027778,6.63292,215.507363,2600.952391,148.268104,452.661399,0.314855,0.830298,15.37903,0.709455,8.464905,0.00639,2.820172
0.028028,6.591132,214.920087,2601.205922,148.272187,452.699673,0.313612,0.842301,15.315347,0.713338,8.46265,0.006384,2.853422
0.028278,6.566949,214.107811,2601.513464,148.277497,452.741407,0.31344,0.860713,15.228925,0.716614,8.456741,0.006379,2.883181
0.028529,6.559433,213.612156,2601.789044,148.282699,452.766293,0.318111,0.880876,15.157442,0.720523,8.449538,0.006374,2.907455
0.028779,6.533902,212.929837,2602.129764,148.289245,452.833896,0.318996,0.885695,15.072191,0.724301,8.437473,0.006369,2.930039
0.029029,6.548116,212.362395,2602.441263,148.295544,452.886606,0.332721,0.900246,15.013929,0.727885,8.418069,0.006362,2.965438
0.029279,6.550977,211.916542,2602.670983,148.300642,452.912998,0.337699,0.903327,14.955485,0.731058,8.397922,0.006358,2.993164
0.02953,6.526621,211.222706,2602.962967,148.304891,452.948368,0.341995,0.911313,14.924186,0.734137,8.382429,0.006352,3.031107
0.02978,6.497774,210.438891,2603.18403,148.309576,452.982469,0.340697,0.935169,14.847381,0.737416,8.36284,0.006347,3.063756
0.03003,6.462599,209.858001,2603.450938,148.31404,453.004569,0.335945,0.949445,14.779653,0.740242,8.357245,0.006341,3.095113
0.03028,6.465341,209.369663,2603.719807,148.317495,453.023969,0.335025,0.961095,14.726591,0.743868,8.351346,0.006333,3.122086
0.030531,6.446241,208.441689,2603.952492,148.326535,453.060847,0.332806,0.972737,14.655456,0.746587,8.333567,0.006329,3.147589
0.030781,6.455615,207.621224,2604.29044,148.332661,453.10837,0.331829,0.977855,14.608466,0.748951,8.327289,0.006324,3.169266
0.031031,6.421331,206.805755,2604.609673,148.33698,453.119263,0.330127,0.991223,14.536103,0.752231,8.319461,0.006318,3.204251
0.031281,6.418521,206.268161,2604.909319,148.342831,453.149297,0.332378,1.017376,14.470508,0.755039,8.302952,0.006311,3.239377
0.031532,6.415909,205.639437,2605.263925,148.349396,453.183939,0.332719,1.016659,14.390175,0.75771,8.294844,0.006304,3.271347
0.031782,6.356362,205.299443,2605.640804,148.353926,453.204758,0.335436,1.035148,14.333721,0.760911,8.284897,0.0063,3.311228
0.032032,6.335122,204.95108,2605.965792,148.358424,453.218237,0.339993,1.060613,14.264558,0.763593,8.271259,0.006295,3.342853
0.032282,6.32343,204.489563,2606.360437,148.365232,453.258431,0.342093,1.085079,14.222933,0.766205,8.26099,0.00629,3.381949
0.032533,6.296709,204.126901,2606.565673,148.3715,453.250695,0.345786,1.11229,14.149916,0.768555,8.248214,0.006283,3.412881
0.032783,6.281132,203.470652,2606.824688,148.378234,453.288217,0.347259,1.137545,14.077515,0.771301,8.242545,0.006282,3.4564
0.033033,6.295687,203.17681,2607.057322,148.38168,453.330792,0.344859,1.163173,13.982417,0.773241,8.230823,0.006277,3.481474
0.033283,6.285001,202.746781,2607.380969,148.387743,453.353143,0.347977,1.189458,13.913904,0.775867,8.22301,0.006274,3.522003
0.033534,6.259522,201.84064,2607.653229,148.391683,453.363004,0.344294,1.204744,13.838609,0.777566,8.219152,0.006269,3.553021
0.033784,6.230228,201.362115,2607.965384,148.395868,453.360088,0.347473,1.221183,13.766572,0.779818,8.217235,0.006263,3.599146
0.034034,6.211217,200.83111,2608.280182,148.401117,453.397556,0.348324,1.242637,13.692134,0.782674,8.207593,0.006259,3.63994
