Time,dS_S,dX_S,dX_BH,dX_BA,dX_P,dS_O,dS_NO,dS_NH,dS_ND,dX_ND,dS_ALK,dS_N2
day,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg O2/l/d,mg N/l/d,mg N/l/d,mg N/l/d,mg N/l/d,eq ALK/l/d,mg N/l/d
0.023023,-231.534911,-2495.961945,1223.965536,20.186529,130.486113,9.585926,62.998529,-293.562256,19.623612,-17.596277,-0.025469,113.710147
0.023273,-214.193712,-2508.258655,1220.513455,20.349569,130.501344,9.06555,63.194905,-292.949119,19.397746,-18.384103,-0.025439,114.196271
0.023524,-198.33538,-2519.755193,1217.518976,20.501642,130.516536,8.570592,63.337823,-292.340642,19.156143,-19.144275,-0.025406,114.690186
0.023774,-183.853155,-2530.497853,1214.941558,20.643436,130.531694,8.102016,63.431902,-291.737022,18.90112,-19.878348,-0.025369,115.190136
0.024024,-170.643816,-2540.53163,1212.742167,20.775628,130.546822,7.660315,63.481675,-291.138418,18.634844,-20.587841,-0.02533,115.694401
0.024274,-158.608388,-2549.899937,1210.883556,20.898874,130.561926,7.245578,63.491541,-290.54496,18.359327,-21.274231,-0.025288,116.201318
0.024525,-147.652656,-2558.644392,1209.330464,21.01381,130.577009,6.85755,63.465731,-289.956755,18.076428,-21.938939,-0.025244,116.709306
0.024775,-137.687511,-2566.804666,1208.049751,21.121045,130.592075,6.49569,63.408274,-289.373883,17.787852,-22.583326,-0.025199,117.21687
0.025025,-128.629163,-2574.418386,1207.010473,21.221158,130.607126,6.15923,63.322979,-288.796409,17.495154,-23.208687,-0.025151,117.722616
0.025275,-120.399224,-2581.521088,1206.183903,21.314699,130.622167,5.847225,63.213418,-288.224377,17.199744,-23.816252,-0.025103,118.225258
0.025526,-112.9247,-2588.146198,1205.543521,21.402185,130.637198,5.558594,63.082921,-287.657817,16.902895,-24.407179,-0.025053,118.723617
0.025776,-106.137902,-2594.325055,1205.06496,21.484099,130.652223,5.292169,62.934575,-287.096744,16.605747,-24.982558,-0.025002,119.216628
0.026026,-99.976293,-2600.086953,1204.72594,21.560894,130.667243,5.046722,62.771219,-286.541156,16.309314,-25.54341,-0.024951,119.703331
0.026276,-94.382294,-2605.459205,1204.506174,21.632991,130.68226,4.820994,62.595456,-285.991042,16.014496,-26.09069,-0.024899,120.182876
0.026527,-89.303048,-2610.467222,1204.387267,21.70078,130.697275,4.613727,62.409656,-285.446376,15.722082,-26.625287,-0.024847,120.654517
0.026777,-84.69017,-2615.134593,1204.352599,21.76462,130.71229,4.423673,62.21597,-284.907123,15.432762,-27.14803,-0.024795,121.117603
0.027027,-80.499471,-2619.483191,1204.387215,21.824844,130.727304,4.249616,62.016336,-284.373235,15.147133,-27.659686,-0.024742,121.571577
0.027277,-76.690692,-2623.53326,1204.4777,21.881756,130.74232,4.090383,61.812496,-283.844656,14.865706,-28.160969,-0.02469,122.01597
0.027528,-73.227222,-2627.303522,1204.612067,21.935637,130.757337,3.94485,61.606008,-283.321319,14.588916,-28.652537,-0.024638,122.450389
0.027778,-70.075829,-2630.811276,1204.779637,21.986743,130.772356,3.81195,61.398256,-282.80315,14.317127,-29.135002,-0.024586,122.874519
0.028028,-67.206395,-2634.072492,1204.970929,22.035309,130.787377,3.690678,61.190468,-282.290068,14.050639,-29.608927,-0.024534,123.288109
0.028278,-64.591666,-2637.101908,1205.177556,22.081549,130.802402,3.580088,60.983724,-281.781983,13.789694,-30.074832,-0.024483,123.690969
0.028529,-62.207006,-2639.913121,1205.392123,22.125659,130.817428,3.4793,60.778974,-281.278801,13.534485,-30.533199,-0.024433,124.082966
